"","Id","ï..S1"
"1",1,"S1"
"2",2,"s5"
"3",3,"s8"
"4",4,"s10"
"5",5,"s12"
"6",6,"s18"
"7",7,"s23"
"8",8,"s29"
"9",9,"s31"
"10",10,"s28"
"11",11,"s42"
"12",12,"s51"
"13",13,"s52"
"14",14,"s58"
"15",15,"s59"
"16",16,"s56"
"17",17,"s63"
"18",18,"s69"
"19",19,"s73"
"20",20,"s55"
"21",21,"s77"
"22",22,"s64 "
"23",23,"s78"
"24",24,"s78 "
"25",25,"s2 "
"26",26,"s3 "
"27",27,"s4"
"28",28,"s6"
"29",29,"s7"
"30",30,"s9"
"31",31,"s11"
"32",32,"s13"
"33",33,"s14"
"34",34,"s15"
"35",35,"s16"
"36",36,"s17"
"37",37,"s19"
"38",38,"s20"
"39",39,"s21"
"40",40,"s22"
"41",41,"s24"
"42",42,"s25"
"43",43,"s26"
"44",44,"s27"
"45",45,"s30"
"46",46,"s32"
"47",47,"s33"
"48",48,"s34"
"49",49,"s35"
"50",50,"s36"
"51",51,"s37"
"52",52,"s38"
"53",53,"s39"
"54",54,"s40"
"55",55,"s41"
"56",56,"s2"
"57",57,"s43"
"58",58,"s44"
"59",59,"s45"
"60",60,"s46"
"61",61,"s47"
"62",62,"s48"
"63",63,"s49"
"64",64,"s50"
"65",65,"s53"
"66",66,"s54"
"67",67,"s57"
"68",68,"s60"
"69",69,"s61"
"70",70,"s62"
"71",71,"s65"
"72",72,"s66"
"73",73,"s67"
"74",74,"s68"
"75",75,"s70"
"76",76,"s71"
"77",77,"s72"
"78",78,"s74"
"79",79,"s75"
"80",80,"s76"
"81",81,"s8 "
"82",82,"s79"
"83",83,"s80"
"84",84,"s81"
"85",85,"s82"
"86",86,"s83"
"87",87,"s84"
"88",88,"s85"
"89",89,"s86"
