Edge,Target,Month,Group,SourceCode,TargetCode,Valence,
Emotions,Anxiety,December,MW,Emotions,Emotions,Negative,
Emotions,Scared,December,MW,Emotions,Emotions,Negative,
Emotions,Judgment,December,MW,Emotions,Emotions,Negative,
People,Getting on nerves,December,MW,RTB,Emotions,Negative,
Health,Asthma,December,MW,Health,Health,Negative,
Health,Pollution,December,MW,Health,Pollution,Negative,
Pollution,CSO,December,MW,Pollution,Pollution,Negative,
Things in the river,Nasty,December,MW,River characteristics,Pollution,Negative,
Emotions,Memories,December,MW,Emotions,Emotions,Positive,
Emotions,Peace,December,MW,Emotions,Emotions,Positive,
People,Find yourself,December,MW,Self-discovery,Self-discovery,Positive,
People,Learn about your place,December,MW,Self-discovery,Self-discovery,Positive,
People,Family,December,MW,People,Family,Positive,
People,Connections,December,MW,Family,Bonds,Positive,
People,Memories,December,MW,People,People,Positive,
People,Community members,December,MW,People,People,Positive,
Activities,Turkey chases,December,MW,Activities,Activities,Positive,
Activities,Hiking,December,MW,Activities,Activities,Positive,
Activities,Weeklong,December,MW,Activities,Activities,Positive,
People,NYC,December,MW,People,Places,,
Connections,RTB,December,MW,People,RTB,,
RTB,Schools,December,MW,RTB,School,,
Pollution,Animals,December,MW,Pollution,Animals,,
Pollution,Plants,December,MW,Pollution,Plants,,
Places,Hunts point,December,MW,Places,Places,,
Places,Long Island Sound,December,MW,Places,Places,,
Places,NYC,December,MW,Places,Places,,
Places,Frost Valley,December,MW,Places,Places,,
Places,Atlantic Ocean,December,MW,Places,Places,,
Activities,Birdwatching,December,MW,Activities,Activities,,
Activities,Cleaning the water,December,MW,Activities,Activities,,
Activities,Rowing,December,MW,Activities,Activities,,
Birdwatching,Yellow night heron,December,MW,Acitivties,Animals,,
Things in the river,Water,December,MW,River characteristics,River characteristics,,
Things in the river,Waves,December,MW,River characteristics,River characteristics,,
Low tide,Garbage,September,MW,River characteristics,Pollution,Negative,
Low tide,Mud,September,MW,River characteristics,River characteristics,Negative,
Happy place,Events,September,MW,Emotions,Activities,Positive,
Happy place,Friend,September,MW,Emotions,Friends,Positive,
Happy place,John,September,MW,Emotions,Friends,Positive,
Happy place,Parties,September,MW,Emotions,Activities,Positive,
Job,Experience,September,MW,Job,Skills,Positive,
Job,Info,September,MW,Job,Skills,Positive,
Job,Money,September,MW,Job,Money,Positive,
Job,Work,September,MW,Job,Skills,Positive,
Low tide,Boots,September,MW,River characteristics,Physical experience,,Specialized knowledge
Low tide,Animals,September,MW,River characteristics,Animals,,
Animals,Crabs,September,MW,Animals,Animals,,
Animals,Wading birds,September,MW,Animals,Animals,,
People,Adam,September,MW,People,People,,Bronx Notables
People,Majora Carter,September,MW,People,People,,
Majora Carter,Boogie Down Grind,September,MW,People,Places,,
Majora Carter,Greening the Ghetto,September,MW,People,Environmental action,,
Majora Carter,Hyde HS,September,MW,People,School,,
Hyde HS,Teacher Name,September,MW,School,People,,
Hyde HS,Torture,September,MW,School,Emotions,,
Hyde HS,Pain,September,MW,School,Emotions,,
People,The sexy student,September,MW,People,People,,
People,The ratchet student,September,MW,People,People,,
People,Adam Green,September,MW,People,Adam ,,
Trash,Random things,September,TTh,Pollution,Pollution,Negative,
Trash,Bottles,September,TTh,Pollution,Pollution,Negative,
Trash,Plastic bags,September,TTh,Pollution,Pollution,Negative,
Random things,Shoes,September,TTh,Pollution,Pollution,Negative,
Random things,Socks,September,TTh,Pollution,Pollution,Negative,
Dirty,,September,TTh,Pollution,,Negative,
Parts,Mud,September,TTh,River characteristics,River characteristics,Negative,
Mud,Dirty shoes,September,TTh,River characteristics,Physical experience,Negative,
Memories,Inside joke,September,TTh,Friends,Friends,Positive,
Rocks,,September,TTh,River characteristics,River characteristics,,
Parts,Water,September,TTh,River characteristics,Water,,
Water,Low tide,September,TTh,River characteristics,River characteristics,,
Water,High tide,September,TTh,River characteristics,River characteristics,,
Water,Rowing,September,TTh,Water,Boats,,
Mud,Mudflat,September,TTh,River characteristics,River characteristics,,
Docks,,September,TTh,River characteristics,River characteristics,,
Plants,Trees,September,TTh,River characteristics,Plants,,
Plants,Seaweed,September,TTh,Plants,Plants,,
Trees,Branch,September,TTh,Plants,Plants,,
Animals,Birds,September,TTh,Animals,Animals,,
Animals,Fish,September,TTh,Animals,Animals,,
Animals,Crabs,September,TTh,Animals,Animals,,
Birds,Blue heron,September,TTh,Animals,Animals,,
Birds,Great Egret,September,TTh,Animals,Animals,,
Birds,Cormorant,September,TTh,Animals,Animals,,
Communities,Hunts Point,September,TTh,Communities,Places,,
Communities,People,September,TTh,Communities,Places,,
Communities,RTB,September,TTh,Communities,RTB,,
Communities,Soundview,September,TTh,Communities,Places,,
Bronx River,Activities,December,TTh,Bronx River,Activities,,
Bronx River,Animals,December,TTh,Bronx River,Animals,,
Bronx River,Bronx,December,TTh,Bronx River,Places,,
Bronx River,Places,December,TTh,Bronx River,Places,,
Bronx River,Preservation,December,TTh,Bronx River,Environmental action,,
Bronx River,Safety,December,TTh,Bronx River,Safety,,
Bronx River,Technical Skills,December,TTh,Bronx River,Skills,,
Bronx River,Things in the river,December,TTh,River characteristics,River characteristics,,
Bronx River,Tides,December,TTh,River characteristics,River characteristics,,
Activities,Basketball,December,TTh,Activities,Activities,,
Activities,Fishing,December,TTh,Activities,Activities,,
Activities,Fun,December,TTh,Activities,Fun,,
Activities,Games,December,TTh,Activities,Activities,,
Activities,Rowing,December,TTh,Activities,Activities,,
Activities,Science,December,TTh,Activities,Activities,,
Activities,Swimming,December,TTh,Activities,Activities,,
Activities,Teaching_Learning,December,TTh,Activities,Activities,,
Activities,Water quality,December,TTh,Activities,Activities,,
Swimming,YMCA,December,TTh,Activities,Organizations,,
YMCA,Coach Will,December,TTh,Organizations,People,,
Water quality,Dissolved Oxygen,December,TTh,Acitivities,Water Quality,,
Water quality,Nitrates,December,TTh,Acitivities,Water Quality,,
Water quality,pH,December,TTh,Acitivities,Water Quality,,
Water quality,Salinity,December,TTh,Acitivities,Water Quality,,
Water quality,Turbidity,December,TTh,Acitivities,Water Quality,,
Animals,Birds,December,TTh,Animals,Animals,,
Animals,Fish,December,TTh,Animals,Animals,,
Birds,Cormorants,December,TTh,Animals,Animals,,
Birds,Ducks,December,TTh,Animals,Animals,,
Birds,Egrets,December,TTh,Animals,Animals,,
Bronx,BEC,December,TTh,Places ,Unknown,,
Bronx,Chopped cheese,December,TTh,Places,Food,,
Bronx,Hunts Point,December,TTh,Places,Places,,
Bronx,RTB,December,TTh,Places,RTB,,
Bronx,SM,December,TTh,Places,Unknown,,
Bronx,Grant,December,TTh,Places,Environmental action,,
RTB,Family,December,TTh,RTB,Family,,
RTB,No purple or dark colors,December,TTh,RTB,Fun,,
RTB,Weeklong,December,TTh,RTB,Activities,,
Family,People,December,TTh,Family,People,,
People,Staff,December,TTh,People,People,,
People,Friends,December,TTh,People,Friend,,
People,Student,December,TTh,People,People,,
Staff,Learning,December,TTh,People,Activities,,
Staff,Teaching,December,TTh,People,Activities,,
Weeklong,Overnight,December,TTh,Activities,Activities,,
Overnight,Dice,December,TTh,Activities,Activities,,
Overnight,Games,December,TTh,Activities,Activities,,
Overnight,Lion King,December,TTh,Activities,Activities,,
Dice,Student beat Student,December,TTh,Activities,Activities,,
Places,Hunts point,December,TTh,Places,Places,,
Places,Soundview,December,TTh,Places,Places,,
Places,YMCA,December,TTh,Places,Organizations,,
Soundview,Phragmites,December,TTh,Places,Plants,,
YMCA,Coach Will,December,TTh,Organizations,People,,
Preservation,Oysters,December,TTh,Environmental Action,Animals,,
Presevation,Planting trees,December,TTh,Environmental Action,Plants,,
Preservation,Plants,December,TTh,Environmental Action,Plants,,
Preservation,Removing invasives,December,TTh,Environmental Action,Plants,,
Planting trees,Deciduous,December,TTh,Environmental Action,Plants,,
Planting trees,Evergreen,December,TTh,Environmental Action,Plants,,
Plants,Opposite,December,TTh,Plants,Plants,,
Plants,Alternate,December,TTh,Plants,Plants,,
Plants,Photosynthesis,December,TTh,Plants,Plants,,
Safety,Boat Bag,December,TTh,Safety,Safety,,
Safety,PFDs,December,TTh,Safety,Safety,,
Technical Skills,Job Skills,December,TTh,Skills,Skills,,
Technical Skills,ESP,December,TTh,Skills,Skills,,
Technical Skills,Water Quality,December,TTh,Skills,Skills,,
ESP,LNT,December,TTh,RTB,Skills,,
ESP,Knots,December,TTh,RTB,Skills,,
Knots,Bowline,December,TTh,RTB,Skills,,
Things in the river,Dock,December,TTh,River characteristics,River characteristics,,
Things in the river,Dirt,December,TTh,River characteristics,River characteristics,,
Things in the river,Boat,December,TTh,River characteristics,River characteristics,,
Things in the river,Mudlats,December,TTh,River characteristics,River characteristics,,
Things in the river,Pollution,December,TTh,River characteristics,Pollution,,
Mudflats,Uggs,December,TTh,River characteristics,Pollution,,
Boat,Oars,January,TTh,Boat,Boat,,
Boat,Bowline,February,TTh,Boat,Boat,,
Tides,High,December,TTh,River characteristics,River characteristics,,
Tides,Low,December,TTh,River characteristics,River characteristics,,
Low tide,Stuck,December,TTh,River characteristics,Physical experience,,
Low tide,Staff Member,December,TTh,River characteristics,People,,
Low tide,Uggs,December,TTh,River characteristics,Pollution,,
